"replicate","exp_day","treatment","trait","sub_rep"
1,6,"control",10.829864613719,"B"
1,6,"half",8.88840082214921,"B"
1,6,"half",8.90971433853115,"C"
1,6,"half",8.78685143203518,"C"
1,6,"half",9.08545306083415,"A"
1,6,"half",8.82347747133152,"C"
1,6,"half",9.39249306770897,"C"
1,6,"half",9.37526154704775,"A"
1,6,"half",9.48307715852504,"B"
1,6,"half",9.51873498177219,"B"
1,6,"half",9.27532356346482,"C"
1,6,"starvation",6.31426612307183,"B"
1,6,"starvation",7.07529056006799,"B"
1,6,"starvation",6.42470021958257,"A"
1,6,"starvation",6.2489806159097,"C"
1,6,"starvation",6.5725343955162,"B"
1,6,"starvation",6.96288134573288,"B"
1,6,"starvation",6.06609424191284,"A"
1,6,"starvation",6.69964563695981,"A"
1,6,"starvation",5.74826894648022,"B"
1,6,"starvation",6.59954087465105,"B"
1,7,"control",12.1255720073068,"A"
1,7,"control",11.0387606927686,"C"
1,7,"control",11.9269220842481,"A"
1,7,"control",12.4031027112221,"A"
1,7,"control",12.1618694983109,"B"
1,7,"control",12.1581790969749,"A"
1,7,"control",11.5903078402934,"B"
1,7,"control",11.3686882773984,"B"
1,7,"control",11.2711904022572,"A"
1,7,"control",11.0453639734255,"C"
1,7,"half",8.91633915843997,"C"
1,7,"half",8.72685536207162,"C"
1,7,"half",8.09996936705728,"B"
1,7,"half",8.88326808333007,"C"
1,7,"half",9.3390300615638,"A"
1,7,"half",8.49291080516332,"A"
1,7,"half",8.3196130931911,"B"
1,7,"half",8.6436908755306,"C"
1,7,"half",8.7923456687344,"C"
1,7,"half",8.90038338348225,"B"
1,7,"starvation",5.97556658381597,"A"
1,7,"starvation",6.2385620409143,"C"
1,7,"starvation",5.84022420198959,"C"
1,7,"starvation",6.19435857973889,"B"
1,7,"starvation",6.08071494056405,"B"
1,7,"starvation",6.75947671282589,"C"
1,7,"starvation",5.82707422526532,"A"
1,7,"starvation",6.06526128537953,"B"
1,7,"starvation",5.9074804879624,"C"
1,7,"starvation",6.54295472466134,"B"
1,8,"control",10.1697502449513,"B"
1,8,"control",9.84810570203347,"C"
1,8,"control",9.83187125266237,"A"
1,8,"control",8.62721530254825,"C"
1,8,"control",10.1770710025582,"A"
1,8,"control",9.17651842203701,"C"
1,8,"control",10.1770529689574,"B"
1,8,"control",9.81395110619791,"A"
1,8,"control",10.0658722877346,"B"
1,8,"control",9.78095086337197,"C"
1,8,"half",8.25261930765055,"A"
1,8,"half",7.71287955084658,"B"
1,8,"half",8.4647674872662,"C"
1,8,"half",9.15543459930967,"A"
1,8,"half",8.35733300744937,"A"
1,8,"half",8.22963600670288,"A"
1,8,"half",8.55305736334351,"B"
1,8,"half",8.46271861236947,"B"
1,8,"half",9.39326164876019,"A"
1,8,"half",8.10840961186297,"A"
1,8,"starvation",4.88654234255274,"C"
1,8,"starvation",5.4683230337589,"A"
1,8,"starvation",5.79584563084541,"B"
1,8,"starvation",5.42179694037864,"B"
1,8,"starvation",5.75178844743589,"A"
1,8,"starvation",4.72868500657793,"A"
1,8,"starvation",4.58533309682172,"B"
1,8,"starvation",5.37299762124636,"A"
1,8,"starvation",4.87490014841013,"B"
1,8,"starvation",5.58791090469902,"B"
1,9,"control",11.0353759974347,"A"
1,9,"control",11.3514652823403,"A"
1,9,"control",11.307459412909,"A"
1,9,"control",10.9369041609213,"C"
1,9,"control",10.1962741007455,"B"
1,9,"control",12.1329630957953,"A"
1,9,"control",11.7190682032943,"C"
1,9,"control",11.4528308396105,"A"
1,9,"control",11.1594981079052,"B"
1,9,"control",10.9615837516321,"B"
1,9,"half",7.83916000346944,"B"
1,9,"half",8.32330070700261,"A"
1,9,"half",8.35142155352018,"B"
1,9,"half",7.9225231231834,"B"
1,9,"half",7.57101950470613,"B"
1,9,"half",8.49848827856991,"A"
1,9,"half",8.18184458443732,"B"
1,9,"half",7.51424583152669,"B"
1,9,"half",8.02126328648604,"C"
1,9,"half",7.37499835181925,"B"
1,9,"starvation",5.03593728303419,"C"
1,9,"starvation",4.62238869033862,"B"
1,9,"starvation",5.14577417298765,"C"
1,9,"starvation",5.32112254869626,"A"
1,9,"starvation",5.11903655659644,"C"
1,9,"starvation",5.63613447568291,"A"
1,9,"starvation",5.68156127291503,"A"
1,9,"starvation",5.34401440922146,"A"
1,9,"starvation",4.91663592120512,"B"
1,9,"starvation",5.39118682527196,"A"
1,10,"control",10.3042265200852,"C"
1,10,"control",9.84653951649393,"C"
1,10,"control",10.1654715231611,"C"
1,10,"control",10.8640546203601,"A"
1,10,"control",10.669799631391,"C"
1,10,"control",9.45558056533175,"C"
1,10,"control",10.0508855125864,"A"
1,10,"control",9.75777069013773,"A"
1,10,"control",10.2765417869984,"A"
1,10,"control",10.0870389848916,"B"
1,10,"half",8.67758150467808,"A"
1,10,"half",6.84602825238608,"B"
1,10,"half",8.13576720369743,"A"
1,10,"half",8.14067740406233,"C"
1,10,"half",7.79402458488038,"A"
1,10,"half",7.50989274958871,"A"
1,10,"half",8.21112470779874,"A"
1,10,"half",8.08295279720213,"A"
1,10,"half",7.52503721741978,"B"
1,10,"half",8.345989836726,"A"
1,10,"starvation",3.35548227206444,"B"
1,10,"starvation",3.28997512845743,"A"
1,10,"starvation",3.35208043093427,"C"
1,10,"starvation",3.82562406355335,"C"
1,10,"starvation",2.30331212024356,"B"
1,10,"starvation",3.21277813443329,"A"
1,10,"starvation",2.86749963234698,"B"
1,10,"starvation",2.54470167258081,"A"
1,10,"starvation",3.32649692737536,"A"
1,10,"starvation",3.53831274571116,"A"
2,0,"control",10.5359170123037,"A"
2,0,"control",11.9631494271479,"B"
2,0,"control",10.6805188498675,"A"
2,0,"control",11.2816734883095,"B"
2,0,"control",10.6816170366908,"A"
2,0,"control",11.5176297393872,"B"
2,0,"control",11.6169035053624,"B"
2,0,"control",11.1908417338587,"A"
2,0,"control",11.1733066788448,"A"
2,0,"control",11.124890311081,"C"
2,0,"half",11.2490116775341,"A"
2,0,"half",11.0121659449476,"C"
2,0,"half",11.762093077199,"A"
2,0,"half",11.013403259709,"A"
2,0,"half",11.4169420654012,"B"
2,0,"half",11.7100068181567,"C"
2,0,"half",11.4719310717145,"C"
2,0,"half",11.205464867604,"C"
2,0,"half",11.1646654885306,"B"
2,0,"half",11.0387033048816,"C"
2,0,"starvation",11.8795357574753,"A"
2,0,"starvation",10.8889274955204,"A"
2,0,"starvation",10.9316822176766,"C"
2,0,"starvation",11.4672754039457,"C"
2,0,"starvation",11.4198198004248,"C"
2,0,"starvation",11.7902327447484,"B"
2,0,"starvation",11.2306406932121,"A"
2,0,"starvation",11.4849276749578,"A"
2,0,"starvation",10.5478291990667,"A"
2,0,"starvation",11.1272190656809,"C"
2,1,"control",10.7704129441008,"A"
2,1,"control",11.0847710687667,"C"
2,1,"control",11.0569202966523,"A"
2,1,"control",11.8453345619226,"A"
2,1,"control",11.6074047312639,"B"
2,1,"control",11.0624272236324,"B"
2,1,"control",11.5710464175241,"B"
2,1,"control",11.3390047074551,"A"
2,1,"control",10.5062524688867,"B"
2,1,"control",11.7902315990665,"B"
2,1,"half",11.120102256955,"C"
2,1,"half",11.0928163737143,"C"
2,1,"half",10.9171052292803,"C"
2,1,"half",11.1871459278666,"B"
2,1,"half",11.3336527788248,"C"
2,1,"half",10.5335702890059,"C"
2,1,"half",10.7471007899902,"A"
2,1,"half",10.035534262676,"B"
2,1,"half",10.5363080985302,"A"
2,1,"half",10.9709342735718,"A"
2,1,"starvation",10.7061751747041,"C"
2,1,"starvation",9.61194471692445,"B"
2,1,"starvation",10.1145459065306,"A"
2,1,"starvation",10.2743770304301,"A"
2,1,"starvation",10.113318293778,"C"
2,1,"starvation",10.4911170645762,"B"
2,1,"starvation",10.5419991484242,"B"
2,1,"starvation",10.2471806639768,"C"
2,1,"starvation",11.3219947629196,"A"
2,1,"starvation",10.651915136043,"A"
2,2,"control",11.0385036687537,"B"
2,2,"control",11.7678431698136,"B"
2,2,"control",11.2470096359285,"B"
2,2,"control",11.3350300605618,"B"
2,2,"control",11.010952059967,"C"
2,2,"control",10.5448211843319,"B"
2,2,"control",11.5206773405336,"B"
2,2,"control",10.8567825349322,"C"
2,2,"control",10.5579987714153,"C"
2,2,"control",10.7603758147122,"B"
2,2,"half",11.2958124241623,"A"
2,2,"half",11.4101802590785,"C"
2,2,"half",11.6944533447068,"B"
2,2,"half",12.3400291880987,"B"
2,2,"half",11.3413220678947,"C"
2,2,"half",11.0073744745734,"B"
2,2,"half",11.7543410338083,"C"
2,2,"half",11.2314934072476,"C"
2,2,"half",10.9515315351114,"B"
2,2,"half",10.9486923730739,"A"
2,2,"starvation",10.2918295907922,"C"
2,2,"starvation",9.81115449915451,"A"
2,2,"starvation",9.7072378584489,"C"
2,2,"starvation",9.96698215304762,"B"
2,2,"starvation",9.96742293071775,"A"
2,2,"starvation",9.9718286897718,"C"
2,2,"starvation",10.3846167842264,"B"
2,2,"starvation",10.3248674202838,"C"
2,2,"starvation",9.54171653631546,"A"
2,2,"starvation",9.71084212779633,"B"
2,3,"control",12.4531976177702,"C"
2,3,"control",11.2424169558977,"C"
2,3,"control",11.5801186744394,"C"
2,3,"control",11.5920798367843,"C"
2,3,"control",12.4180992090925,"C"
2,3,"control",12.6616105449974,"A"
2,3,"control",11.9307136659939,"C"
2,3,"control",12.3326507177051,"B"
2,3,"control",11.2444892363746,"C"
2,3,"control",11.8461111665177,"C"
2,3,"half",10.5799728099615,"B"
2,3,"half",10.1470950594838,"C"
2,3,"half",10.7095952807795,"B"
2,3,"half",10.6448653968745,"A"
2,3,"half",11.3059616933814,"C"
2,3,"half",10.7055367527672,"B"
2,3,"half",9.912798946324,"A"
2,3,"half",10.3331067425086,"C"
2,3,"half",10.1465525614974,"A"
2,3,"half",9.66653456764688,"C"
2,3,"starvation",8.76973166220335,"C"
2,3,"starvation",9.96939495781026,"A"
2,3,"starvation",9.42185068163188,"B"
2,3,"starvation",9.27741936027403,"A"
2,3,"starvation",8.14001950139638,"B"
2,3,"starvation",8.59002121624304,"B"
2,3,"starvation",8.80362527526035,"B"
2,3,"starvation",8.79190947044135,"A"
2,3,"starvation",9.4466923322126,"C"
2,3,"starvation",9.31063023207196,"C"
2,4,"control",10.8892845205124,"C"
2,4,"control",11.1730646202285,"A"
2,4,"control",11.8725902845603,"B"
2,4,"control",11.3121144606578,"B"
2,4,"control",11.2378422327028,"C"
2,4,"control",11.5705425926305,"A"
2,4,"control",11.9682107683445,"A"
2,4,"control",11.2688370103287,"A"
2,4,"control",11.999721630888,"C"
2,4,"control",11.9395811198909,"C"
2,4,"half",10.3638374662569,"B"
2,4,"half",10.1908341367002,"B"
2,4,"half",9.92551711323143,"A"
2,4,"half",9.78027656720621,"B"
2,4,"half",9.35426702876632,"A"
2,4,"half",9.48101401522525,"A"
2,4,"half",10.7924061620765,"C"
2,4,"half",10.4830189271309,"C"
2,4,"half",10.2094011227603,"A"
2,4,"half",9.91450890459915,"B"
2,4,"starvation",7.23079620903781,"C"
2,4,"starvation",7.44244118961513,"A"
2,4,"starvation",7.80435904297367,"B"
2,4,"starvation",7.64253496667616,"A"
2,4,"starvation",7.074268830531,"A"
2,4,"starvation",6.90975377303913,"C"
2,4,"starvation",7.61583551467771,"B"
2,4,"starvation",7.82075874732377,"B"
2,4,"starvation",7.1025791907392,"B"
2,4,"starvation",7.56424404815478,"B"
2,5,"control",10.6350959402829,"C"
2,5,"control",11.0970484616621,"C"
2,5,"control",11.3155609913435,"B"
2,5,"control",11.0940219494574,"A"
2,5,"control",12.5048901812556,"C"
2,5,"control",11.407085208887,"A"
2,5,"control",11.9663906373902,"C"
2,5,"control",11.9160925456394,"B"
2,5,"control",11.8853027085384,"B"
2,5,"control",11.6780166575593,"C"
2,5,"half",10.2572513730633,"B"
2,5,"half",9.98072740849294,"C"
2,5,"half",10.4682636972123,"A"
2,5,"half",10.2579096355042,"B"
2,5,"half",10.0228438507474,"A"
2,5,"half",9.861773576454,"B"
2,5,"half",10.1630401489546,"C"
2,5,"half",9.79095774300597,"C"
2,5,"half",9.69948745343216,"A"
2,5,"half",9.69018620404998,"A"
2,5,"starvation",7.68714484460199,"A"
2,5,"starvation",7.55652247938437,"C"
2,5,"starvation",7.78600776543577,"C"
2,5,"starvation",7.74924131217783,"C"
2,5,"starvation",7.96505927743799,"A"
2,5,"starvation",8.27296355230003,"A"
2,5,"starvation",7.80482032751754,"A"
2,5,"starvation",8.35057272381089,"A"
2,5,"starvation",7.80497689316982,"A"
2,5,"starvation",7.79781227503006,"C"
2,6,"control",11.2217578974978,"C"
2,6,"control",10.7283072688696,"B"
2,6,"control",11.4929287248393,"B"
2,6,"control",11.6431356730965,"B"
2,6,"control",11.7599591594665,"B"
2,6,"control",10.754976864612,"A"
2,6,"control",12.2439805294329,"B"
2,6,"control",11.282894881837,"B"
2,6,"control",10.8921031615131,"C"
2,6,"control",10.998395001815,"A"
2,6,"half",10.2023970524651,"C"
2,6,"half",9.41952606301165,"A"
2,6,"half",9.98859721957637,"C"
2,6,"half",9.6928248796384,"A"
2,6,"half",10.1409229189999,"B"
2,6,"half",10.2816270368257,"B"
2,6,"half",9.54332487279409,"C"
2,6,"half",9.03881345502778,"C"
2,6,"half",9.46667032026039,"B"
2,6,"half",9.50593254024693,"A"
2,6,"starvation",5.62091303627355,"A"
2,6,"starvation",5.95791982296957,"A"
2,6,"starvation",6.45058866890824,"B"
2,6,"starvation",6.27063353590909,"C"
2,6,"starvation",6.14702152209585,"A"
2,6,"starvation",5.71177544270961,"B"
2,6,"starvation",5.73966417156075,"B"
2,6,"starvation",6.44394493660793,"B"
2,6,"starvation",5.75306773415531,"C"
2,6,"starvation",6.47218754654292,"C"
2,7,"control",12.4274196584606,"B"
2,7,"control",11.9536433754465,"A"
2,7,"control",12.2841716893676,"C"
2,7,"control",12.3370271405603,"C"
2,7,"control",12.1168287848661,"B"
2,7,"control",12.8030548842044,"C"
2,7,"control",12.0802798432575,"C"
2,7,"control",12.4881873866186,"B"
2,7,"control",12.3991470503603,"B"
2,7,"control",12.975399863943,"B"
2,7,"half",10.4753348630604,"C"
2,7,"half",10.9288890467084,"A"
2,7,"half",10.2003993722918,"C"
2,7,"half",10.5192245931087,"C"
2,7,"half",10.3361791155325,"A"
2,7,"half",9.91394165504595,"A"
2,7,"half",10.9283522422009,"B"
2,7,"half",10.2739346139693,"A"
2,7,"half",10.4685122569764,"B"
2,7,"half",9.88926369284291,"C"
2,7,"starvation",6.33456707769009,"C"
2,7,"starvation",5.88480885288371,"A"
2,7,"starvation",5.89585454940873,"A"
2,7,"starvation",6.53510966421571,"C"
2,7,"starvation",6.37606324879933,"B"
2,7,"starvation",6.61747273480331,"C"
2,7,"starvation",5.98106147452576,"B"
2,7,"starvation",6.80393771507683,"C"
2,7,"starvation",5.82919463448334,"C"
2,7,"starvation",5.5741651034194,"A"
2,8,"control",12.1392027292748,"C"
2,8,"control",12.8506648454953,"A"
2,8,"control",13.2374301485077,"B"
2,8,"control",12.7357890553783,"B"
2,8,"control",12.3091140893957,"C"
2,8,"control",12.3126221228087,"A"
2,8,"control",13.507765609084,"B"
2,8,"control",12.8078529989571,"A"
2,8,"control",12.7696557291371,"B"
2,8,"control",12.3037051901214,"C"
2,8,"half",8.1058457321963,"C"
2,8,"half",9.87690270726995,"B"
2,8,"half",9.38689128999613,"C"
2,8,"half",8.33373763503553,"A"
2,8,"half",9.50256720079122,"A"
2,8,"half",9.48116545146407,"A"
2,8,"half",9.56177304570573,"B"
2,8,"half",9.45252565084154,"A"
2,8,"half",9.8320414849222,"A"
2,8,"half",9.35550178804345,"B"
2,8,"starvation",3.8551600234324,"C"
2,8,"starvation",4.74278130066007,"A"
2,8,"starvation",5.01807372754246,"B"
2,8,"starvation",4.09688938843038,"C"
2,8,"starvation",4.22505083421755,"B"
2,8,"starvation",4.29259249700676,"C"
2,8,"starvation",5.14471138028723,"B"
2,8,"starvation",4.44176190542339,"C"
2,8,"starvation",4.23945036952773,"B"
2,8,"starvation",3.95759778200525,"A"
2,9,"control",11.0742177087839,"C"
2,9,"control",10.2733633539087,"A"
2,9,"control",10.3085143443164,"B"
2,9,"control",10.6571279065923,"A"
2,9,"control",10.3520714217527,"A"
2,9,"control",10.3076069610502,"B"
2,9,"control",9.97861147429929,"C"
2,9,"control",10.3873535314844,"C"
2,9,"control",10.4178196722394,"C"
2,9,"control",10.5654553396047,"B"
2,9,"half",10.5362605167397,"B"
2,9,"half",10.4528174481418,"A"
2,9,"half",10.1933015516887,"A"
2,9,"half",9.81350576436522,"A"
2,9,"half",10.5060243726038,"A"
2,9,"half",10.1398901978484,"C"
2,9,"half",10.9910641673625,"C"
2,9,"half",10.5772596265169,"B"
2,9,"half",10.5081606346746,"B"
2,9,"half",10.6866431304797,"B"
2,9,"starvation",1.43751462571012,"A"
2,9,"starvation",2.38649315109654,"B"
2,9,"starvation",1.7682366101433,"C"
2,9,"starvation",2.97753743311495,"A"
2,9,"starvation",2.31054392905922,"A"
2,9,"starvation",2.31634654185382,"A"
2,9,"starvation",2.44140943497362,"A"
2,9,"starvation",2.31093826718513,"C"
2,9,"starvation",2.88544161118605,"C"
2,9,"starvation",2.076512561714,"A"
2,10,"control",10.6684182175537,"B"
2,10,"control",11.4410453135407,"A"
2,10,"control",11.0174954687345,"B"
2,10,"control",10.4669530597875,"A"
2,10,"control",11.0836589223177,"B"
2,10,"control",10.3621739992561,"B"
2,10,"control",10.881478963596,"B"
2,10,"control",10.1367690965997,"C"
2,10,"control",10.6811142866473,"B"
2,10,"control",10.1185727772097,"C"
2,10,"half",8.45995380094312,"C"
2,10,"half",7.89480508164532,"A"
2,10,"half",8.92785924350972,"A"
2,10,"half",8.10956785482747,"A"
2,10,"half",8.47256872068487,"A"
2,10,"half",8.58123190908799,"A"
2,10,"half",7.87309675830169,"A"
2,10,"half",8.62549071254381,"C"
2,10,"half",8.7993392361446,"C"
2,10,"half",7.69632871091586,"A"
2,10,"starvation",4.85157986888828,"C"
2,10,"starvation",5.19396701310854,"B"
2,10,"starvation",5.3324605314775,"C"
2,10,"starvation",5.24940762119088,"C"
2,10,"starvation",3.82685217335627,"B"
2,10,"starvation",4.91096426396117,"B"
2,10,"starvation",5.02303018372562,"C"
2,10,"starvation",4.03048453669775,"B"
2,10,"starvation",4.13166642806957,"B"
2,10,"starvation",4.72788825516567,"C"
3,0,"control",12.2190117554497,"B"
3,0,"control",12.1254239087743,"B"
3,0,"control",11.9740088327034,"C"
3,0,"control",12.6248284337965,"C"
3,0,"control",11.6597354203825,"A"
3,0,"control",10.9873987194475,"B"
3,0,"control",11.7942494320572,"B"
3,0,"control",11.8271140035821,"B"
3,0,"control",11.6368524332718,"C"
3,0,"control",11.487976081044,"A"
3,0,"half",11.5696886294688,"A"
3,0,"half",11.067738335893,"C"
3,0,"half",11.9385245932908,"B"
3,0,"half",12.0213308914862,"C"
3,0,"half",12.0186141716855,"A"
3,0,"half",11.7183423501526,"A"
3,0,"half",12.0302567269663,"B"
3,0,"half",11.185972303861,"C"
3,0,"half",12.3216527689647,"A"
3,0,"half",11.9380248340476,"C"
3,0,"starvation",11.8199903453915,"C"
3,0,"starvation",11.603810241415,"B"
3,0,"starvation",11.6088647126274,"A"
3,0,"starvation",12.2076147208293,"B"
3,0,"starvation",11.6163431436847,"A"
3,0,"starvation",12.0398707107616,"C"
3,0,"starvation",12.0211415375898,"A"
3,0,"starvation",11.3449655197462,"A"
3,0,"starvation",12.1946408366248,"B"
3,0,"starvation",12.0909627934473,"B"
3,1,"control",11.7659197656222,"B"
3,1,"control",12.0557572255858,"A"
3,1,"control",10.8925748594024,"A"
3,1,"control",11.5845468217378,"A"
3,1,"control",11.8227249027583,"B"
3,1,"control",11.7752500691672,"C"
3,1,"control",11.9214750647845,"C"
3,1,"control",11.5942349288646,"B"
3,1,"control",11.8382509309048,"B"
3,1,"control",11.9046649051901,"A"
3,1,"half",12.4253123558136,"A"
3,1,"half",11.463608495827,"A"
3,1,"half",11.9271976145027,"B"
3,1,"half",11.8027023104151,"A"
3,1,"half",12.262777682248,"A"
3,1,"half",11.9033786572651,"C"
3,1,"half",11.5605422178076,"C"
3,1,"half",11.8492871168154,"C"
3,1,"half",12.6203127495435,"A"
3,1,"half",12.7514749180285,"A"
3,1,"starvation",10.6728246190968,"C"
3,1,"starvation",11.1772646778103,"C"
