"replicate","exp_day","treatment","trait"
1,7,"starvation",6.22955881279831
1,7,"starvation",6.69268894110071
1,7,"starvation",6.55703050088807
1,7,"starvation",6.75190733227148
1,7,"starvation",6.20718052388631
1,7,"starvation",6.05883045229348
1,7,"starvation",6.33446738856105
1,7,"starvation",6.49564669470754
1,7,"starvation",7.20741252452865
1,7,"starvation",6.86557510479845
1,8,"control",12.6600995714117
1,8,"control",12.7152294753912
1,8,"control",12.5982171574745
1,8,"control",11.6321303726236
1,8,"control",12.3458079687617
1,8,"control",12.5258443926974
1,8,"control",11.9440641935669
1,8,"control",12.4275513134316
1,8,"control",12.1155057297952
1,8,"control",12.1535412381248
1,8,"half",10.6959652498983
1,8,"half",10.7556696945505
1,8,"half",9.59027152480983
1,8,"half",10.3927002232635
1,8,"half",10.5221987666245
1,8,"half",10.5618492232958
1,8,"half",10.6919672767255
1,8,"half",10.7686900837742
1,8,"half",11.0098925003186
1,8,"half",10.665201473948
1,8,"starvation",5.48913786396288
1,8,"starvation",6.06763226485757
1,8,"starvation",5.93034801384967
1,8,"starvation",5.7728485487963
1,8,"starvation",5.63790477579471
1,8,"starvation",5.88940400542291
1,8,"starvation",5.87538767581498
1,8,"starvation",5.49894724947014
1,8,"starvation",5.79232259630231
1,8,"starvation",5.89325423112443
1,9,"control",12.6832637530346
1,9,"control",11.9108047566945
1,9,"control",11.3471793704685
1,9,"control",12.2871851612511
1,9,"control",12.1192303245278
1,9,"control",12.6600358176535
1,9,"control",11.5016640942811
1,9,"control",12.7457518342509
1,9,"control",11.7271148868821
1,9,"control",12.4268684635993
1,9,"half",10.6378756867582
1,9,"half",10.4790229390409
1,9,"half",9.99450780604523
1,9,"half",10.6138872990387
1,9,"half",10.6893983934251
1,9,"half",10.6901477885688
1,9,"half",10.3802399637444
1,9,"half",10.0890341588047
1,9,"half",10.7146371783286
1,9,"half",10.2680433376957
1,9,"starvation",4.84695797394451
1,9,"starvation",5.46236368136645
1,9,"starvation",4.36972780455623
1,9,"starvation",5.42526527052109
1,9,"starvation",5.78006722635879
1,9,"starvation",4.63002576104374
1,9,"starvation",5.1578769698614
1,9,"starvation",4.81494085798535
1,9,"starvation",5.18460457026203
1,9,"starvation",4.97515953951799
1,10,"control",12.8739052456566
1,10,"control",12.7909531447365
1,10,"control",11.5937419406934
1,10,"control",12.4758897107208
1,10,"control",12.1256566927511
1,10,"control",11.9588282380404
1,10,"control",11.8391147877585
1,10,"control",12.652965714059
1,10,"control",11.9014399422031
1,10,"control",12.2594986927618
1,10,"half",9.55304704723425
1,10,"half",10.0674981223599
1,10,"half",10.7908637400972
1,10,"half",9.42779463098277
1,10,"half",8.90089939055981
1,10,"half",10.5521198730738
1,10,"half",10.4396221795613
1,10,"half",11.0516257666434
1,10,"half",11.2333848869461
1,10,"half",9.71570081203361
1,10,"starvation",4.66507167613155
1,10,"starvation",3.79750568786409
1,10,"starvation",3.60397564409935
1,10,"starvation",4.36068396760893
1,10,"starvation",3.40532515099253
1,10,"starvation",3.87552319070429
1,10,"starvation",4.93843198042033
1,10,"starvation",4.35442345410454
1,10,"starvation",3.69621898519638
1,10,"starvation",3.83804282044382
2,0,"control",12.7095694352014
2,0,"control",13.4227945835881
2,0,"control",13.5484573029873
2,0,"control",13.7537290242597
2,0,"control",13.1237527439837
2,0,"control",13.180796732036
2,0,"control",13.0427188443374
2,0,"control",12.4494448803332
2,0,"control",13.3677249815397
2,0,"control",12.9900706426832
2,0,"half",13.4766975073861
2,0,"half",12.6373997322765
2,0,"half",13.2247136741949
2,0,"half",12.713566318605
2,0,"half",12.9898650200147
2,0,"half",13.038143862846
2,0,"half",13.7918168253366
2,0,"half",13.3830982296304
2,0,"half",13.1649039416299
2,0,"half",12.7945092683181
2,0,"starvation",14.0619336568755
2,0,"starvation",13.8264510293356
2,0,"starvation",13.4547059851654
2,0,"starvation",13.1010159396993
2,0,"starvation",12.8200398902282
2,0,"starvation",13.96691491295
2,0,"starvation",13.481792653547
2,0,"starvation",13.8745249140288
2,0,"starvation",13.5214969917858
2,0,"starvation",12.9521292171631
2,1,"control",13.2544314732061
2,1,"control",13.6800503982455
2,1,"control",12.6457086409524
2,1,"control",13.3671029867438
2,1,"control",13.6591345291423
2,1,"control",13.3444506876044
2,1,"control",13.1775923349534
2,1,"control",13.4590787870011
2,1,"control",13.1763356374521
2,1,"control",13.3647584872738
2,1,"half",12.7400524203692
2,1,"half",12.7533646038641
2,1,"half",13.0105697399996
2,1,"half",13.4280396335111
2,1,"half",12.6670223075495
2,1,"half",12.5911305278633
2,1,"half",12.7589192884678
2,1,"half",14.1428949014203
2,1,"half",12.7317753055033
2,1,"half",12.8125373407345
2,1,"starvation",12.8290363429444
2,1,"starvation",12.1481972779099
2,1,"starvation",12.8212974811569
2,1,"starvation",12.7332167491053
2,1,"starvation",12.6106841828427
2,1,"starvation",11.9038585193546
2,1,"starvation",11.9860619612106
2,1,"starvation",12.1203901251997
2,1,"starvation",12.8041607675662
2,1,"starvation",11.9335604285802
2,2,"control",13.2555711147962
2,2,"control",13.253495605403
2,2,"control",13.0908493100652
2,2,"control",13.2422436642987
2,2,"control",13.5366883667201
2,2,"control",13.5464712957271
2,2,"control",13.544643964392
2,2,"control",13.5850441978493
2,2,"control",13.3420649310214
2,2,"control",12.9124136478507
2,2,"half",12.7629383163448
2,2,"half",12.8142304223093
2,2,"half",12.6344143566871
2,2,"half",12.4314170955862
2,2,"half",12.5173183078859
2,2,"half",12.5876623149718
2,2,"half",12.6859603902253
2,2,"half",13.4695469959762
2,2,"half",13.1269726688843
2,2,"half",13.7857978348577
2,2,"starvation",11.5059310497069
2,2,"starvation",12.0551363953398
2,2,"starvation",11.4162949191753
2,2,"starvation",11.5489808433255
2,2,"starvation",11.3305423058763
2,2,"starvation",11.0716613518081
2,2,"starvation",11.8310393338386
2,2,"starvation",12.1926199285516
2,2,"starvation",11.6798468836551
2,2,"starvation",11.9573308219659
2,3,"control",13.47076025304
2,3,"control",12.8845231039977
2,3,"control",13.4745808517208
2,3,"control",12.9975091676514
2,3,"control",13.4487267063137
2,3,"control",12.7589398994341
2,3,"control",12.867032419993
2,3,"control",13.9053077687814
2,3,"control",13.3678513753113
2,3,"control",12.9822499080092
2,3,"half",12.5747257556207
2,3,"half",12.6793987021619
2,3,"half",12.1467215971892
2,3,"half",12.4271551777158
2,3,"half",12.3356603724906
2,3,"half",12.9532908895763
2,3,"half",13.2041094858385
2,3,"half",12.7526238422156
2,3,"half",12.4903927217553
2,3,"half",12.735161255782
2,3,"starvation",10.2124476849586
2,3,"starvation",10.6874792196802
2,3,"starvation",11.0908273352424
2,3,"starvation",10.8690662110538
2,3,"starvation",11.0562667191566
2,3,"starvation",10.6105654328418
2,3,"starvation",10.5996272383038
2,3,"starvation",11.0344571171963
2,3,"starvation",10.2044544865872
2,3,"starvation",10.5094402514683
2,4,"control",13.3116023675822
2,4,"control",13.422524412787
2,4,"control",13.287311583446
2,4,"control",13.7349470454237
2,4,"control",13.8554411574207
2,4,"control",13.3842733719358
2,4,"control",13.6247907934769
2,4,"control",13.000497183308
2,4,"control",12.5987748159831
2,4,"control",13.3596196774612
2,4,"half",12.5052429102599
2,4,"half",12.7238633618071
2,4,"half",11.8320731865261
2,4,"half",11.795067228635
2,4,"half",13.3340111687601
2,4,"half",11.9726549104806
2,4,"half",12.516807494551
2,4,"half",12.5688061038944
2,4,"half",12.3521676430589
2,4,"half",12.5096731389683
2,4,"starvation",10.5701354931984
2,4,"starvation",10.4997612377457
2,4,"starvation",9.96345273750973
2,4,"starvation",10.5909116686683
2,4,"starvation",9.55116247484767
2,4,"starvation",9.47073744231409
2,4,"starvation",9.76534459641671
2,4,"starvation",9.70128937391789
2,4,"starvation",9.80485498898863
2,4,"starvation",10.4555648663981
2,5,"control",13.3518654463503
2,5,"control",13.1130560267449
2,5,"control",13.9464348043452
2,5,"control",12.7355097476934
2,5,"control",13.2707478458924
2,5,"control",13.3844317314477
2,5,"control",13.6028564689497
2,5,"control",13.4910145281418
2,5,"control",13.3134476696715
2,5,"control",12.7108152356306
2,5,"half",11.9901082991619
2,5,"half",12.2112423589636
2,5,"half",11.8148310196249
2,5,"half",12.6179708228999
2,5,"half",13.1308789676969
2,5,"half",11.9479921689517
2,5,"half",11.5862053436115
2,5,"half",11.78204622082
2,5,"half",11.8270693181751
2,5,"half",12.5271106874526
2,5,"starvation",9.46160511300853
2,5,"starvation",8.63959466697633
2,5,"starvation",9.35378554319641
2,5,"starvation",8.77138788460214
2,5,"starvation",9.29156886009435
2,5,"starvation",9.29614539852315
2,5,"starvation",9.3049991455381
2,5,"starvation",8.69990938005228
2,5,"starvation",8.9446156988628
2,5,"starvation",9.917095121584
2,6,"control",12.7804940129541
2,6,"control",12.64318985499
2,6,"control",13.8897281125483
2,6,"control",13.3274503601368
2,6,"control",13.5193798649262
2,6,"control",13.8384312663756
2,6,"control",13.1090613983479
2,6,"control",12.783574956699
2,6,"control",13.3833798410578
2,6,"control",13.4216570137319
2,6,"half",12.022073408247
2,6,"half",12.0605262266261
2,6,"half",12.6911580194163
2,6,"half",12.2618653266185
2,6,"half",12.4347460423412
2,6,"half",11.9928603557281
2,6,"half",13.2329975602388
2,6,"half",11.4870426037189
2,6,"half",11.4078648948915
2,6,"half",12.0361809700114
2,6,"starvation",7.89977235514066
2,6,"starvation",8.38531346200606
2,6,"starvation",8.60290776975414
2,6,"starvation",8.03085592169337
2,6,"starvation",8.3917344103083
2,6,"starvation",8.36304375029335
2,6,"starvation",8.31201973797817
2,6,"starvation",8.70951621521611
2,6,"starvation",8.69626607732592
2,6,"starvation",8.56009469888292
2,7,"control",12.725338873081
2,7,"control",12.8190663677531
2,7,"control",12.756225945354
2,7,"control",13.3362034492927
2,7,"control",13.2698268094892
2,7,"control",12.84705224671
2,7,"control",13.400530686244
2,7,"control",13.4609487502594
2,7,"control",13.3311683646843
2,7,"control",13.7518107243815
2,7,"half",12.1611423574413
2,7,"half",11.4420010488449
2,7,"half",12.1060989169105
2,7,"half",11.4578409768102
2,7,"half",11.7052991362995
2,7,"half",11.5478754788345
2,7,"half",11.8827936552007
2,7,"half",11.2818740819059
2,7,"half",11.8071523328568
2,7,"half",10.8783933898425
2,7,"starvation",7.2598592284577
2,7,"starvation",7.76257082990199
2,7,"starvation",6.85181918706651
2,7,"starvation",7.73065109819508
2,7,"starvation",7.69600661619172
2,7,"starvation",8.37897553580561
2,7,"starvation",6.47841442811763
2,7,"starvation",7.87837410979346
2,7,"starvation",6.58272455486735
2,7,"starvation",8.45911837520672
2,8,"control",12.7396260358847
2,8,"control",13.8275462113944
2,8,"control",12.9157871200887
2,8,"control",13.5529750654484
2,8,"control",13.0493756419674
2,8,"control",13.0303376784658
2,8,"control",14.1798944367504
2,8,"control",13.5893197673506
2,8,"control",12.7256726822251
2,8,"control",12.8866502838219
2,8,"half",12.0584106606317
2,8,"half",11.1728299227254
2,8,"half",11.8771940412031
2,8,"half",11.9939362012271
2,8,"half",11.2314433873808
2,8,"half",11.8328233790231
2,8,"half",11.1290855799171
2,8,"half",10.5981011429728
2,8,"half",11.9793943736667
2,8,"half",11.6998482592777
2,8,"starvation",6.51415839387326
2,8,"starvation",6.7571087926381
2,8,"starvation",6.89982311318688
2,8,"starvation",7.01339605182638
2,8,"starvation",6.70190494222275
2,8,"starvation",6.67244555882663
2,8,"starvation",6.93666756469526
2,8,"starvation",6.72582595030398
2,8,"starvation",6.82105766834047
2,8,"starvation",7.22123595220619
2,9,"control",13.6153085640203
2,9,"control",13.0170496327417
2,9,"control",12.7981379205267
2,9,"control",12.3354217829873
2,9,"control",13.4218519554022
2,9,"control",12.9162096853596
2,9,"control",13.2474413839249
2,9,"control",13.3857591334746
2,9,"control",12.4607062689671
2,9,"control",13.3884631556685
2,9,"half",10.9667188133895
2,9,"half",11.2401272426411
2,9,"half",11.8536687675551
2,9,"half",12.1170734866662
2,9,"half",11.3787256366788
2,9,"half",11.4895390171282
2,9,"half",11.5526913080469
2,9,"half",11.7522415369542
2,9,"half",11.2853027519368
2,9,"half",11.3190817878749
2,9,"starvation",5.39047947395308
2,9,"starvation",5.58814416689767
2,9,"starvation",5.95563849154642
2,9,"starvation",6.11954860698713
2,9,"starvation",6.15081947130344
2,9,"starvation",6.51934926894868
2,9,"starvation",6.58542323750988
2,9,"starvation",6.45012192449512
2,9,"starvation",5.64882871355278
2,9,"starvation",6.49096681350808
2,10,"control",13.4439957463039
2,10,"control",13.6879300002831
2,10,"control",13.3056091436254
2,10,"control",13.5739833134353
2,10,"control",13.4752569854546
2,10,"control",13.3687186205063
2,10,"control",13.484877327789
2,10,"control",13.4294427974234
2,10,"control",12.5333662745606
2,10,"control",12.3641392432517
2,10,"half",11.3887753224513
2,10,"half",11.5448605072181
2,10,"half",10.843153051249
2,10,"half",11.4421420439636
2,10,"half",11.2995702175052
2,10,"half",11.7687192699773
2,10,"half",11.5059384162177
2,10,"half",11.9552861299626
2,10,"half",11.4888812055941
2,10,"half",11.1433476985142
2,10,"starvation",5.14060295828978
2,10,"starvation",5.59921836926419
2,10,"starvation",5.09843419839062
2,10,"starvation",5.28908746703775
2,10,"starvation",5.35566128904565
2,10,"starvation",5.59542069602163
2,10,"starvation",5.26610534112098
2,10,"starvation",4.67662224049744
2,10,"starvation",5.66517051659319
2,10,"starvation",4.94601300769981
3,0,"control",9.59906668719919
3,0,"control",10.0158704446051
3,0,"control",10.5739062911445
3,0,"control",9.91427030838199
3,0,"control",10.0473319196054
3,0,"control",9.86411622805022
3,0,"control",10.2354237572547
3,0,"control",10.5412079696564
3,0,"control",9.90833223513551
3,0,"control",10.2965193167759
3,0,"half",10.2889415472348
3,0,"half",10.2798598629511
3,0,"half",11.1813015685311
3,0,"half",10.5035056507692
3,0,"half",10.2190153257561
3,0,"half",9.88176321266305
3,0,"half",10.1684187859675
3,0,"half",10.3655437272491
3,0,"half",10.2107452989655
3,0,"half",10.234530815503
3,0,"starvation",9.65589115081586
3,0,"starvation",9.6277210027154
3,0,"starvation",9.63397988331911
3,0,"starvation",10.0495791577288
3,0,"starvation",10.4074197426762
3,0,"starvation",10.0859641190879
3,0,"starvation",10.594240581349
3,0,"starvation",9.66147654101773
3,0,"starvation",10.6729720174409
3,0,"starvation",9.92100320752919
3,1,"control",9.67008039563971
3,1,"control",10.3212631705491
3,1,"control",10.7705425145164
3,1,"control",10.2555721482274
3,1,"control",10.2744152013494
3,1,"control",10.3001309869529
3,1,"control",10.7910716164046
3,1,"control",10.1273802479871
3,1,"control",9.93075468281732
3,1,"control",10.7043649838044
3,1,"half",9.96477705665623
3,1,"half",10.4777308702109
3,1,"half",9.71054693245645
3,1,"half",10.1373440819477
3,1,"half",9.77233063527781
3,1,"half",10.5906681757164
3,1,"half",10.3656538260284
3,1,"half",9.64814114728872
3,1,"half",9.71600149171296
3,1,"half",10.3050993628128
3,1,"starvation",9.52062889727973
3,1,"starvation",9.55881207540954
3,1,"starvation",9.18331253762867
3,1,"starvation",8.57234142447005
3,1,"starvation",9.32116915738855
3,1,"starvation",9.28749152007719
3,1,"starvation",9.58486473392593
3,1,"starvation",10.1651858797311
3,1,"starvation",9.88388279865588
3,1,"starvation",8.77408378205613
3,2,"control",10.0073965931991
3,2,"control",10.2107046838888
3,2,"control",9.93747411612172
3,2,"control",10.1074547737207
3,2,"control",10.0712529569392
3,2,"control",10.1082804095473
3,2,"control",10.0263686865407
3,2,"control",10.4714665421066
3,2,"control",10.9758054762321
3,2,"control",10.1132426512089
3,2,"half",9.52508012954296
3,2,"half",9.92252968519177
3,2,"half",9.68021416865947
3,2,"half",9.7618445208908
3,2,"half",10.0884366049868
3,2,"half",9.78525207030042
3,2,"half",10.8079116782334
3,2,"half",8.77636328660265
3,2,"half",9.75590590604786
3,2,"half",9.53838716247775
3,2,"starvation",9.11581432174728
3,2,"starvation",8.99861107371713
3,2,"starvation",9.24906814297381
3,2,"starvation",8.63424820636945
3,2,"starvation",7.8990028048321
3,2,"starvation",8.28108396741345
3,2,"starvation",9.19607704246383
3,2,"starvation",8.91831849367747
3,2,"starvation",8.80884023292017
3,2,"starvation",8.42101578967435
3,3,"control",9.77805653022706
3,3,"control",10.9925276668503
3,3,"control",10.4446232188876
3,3,"control",10.2268983316188
3,3,"control",10.8030257347123
3,3,"control",9.95057519935031
3,3,"control",10.458708935554
3,3,"control",10.3151649814575
3,3,"control",10.0187361178501
3,3,"control",10.1693175316979
3,3,"half",9.22989805468193
3,3,"half",10.2249727015708
3,3,"half",9.73125481158229
3,3,"half",9.74240456138946
3,3,"half",8.85162253587859
3,3,"half",9.83717292322492
3,3,"half",9.72205453697315
3,3,"half",9.3226806204353
3,3,"half",9.86607641730377
3,3,"half",9.77831307991886
3,3,"starvation",7.61525435518136
3,3,"starvation",8.50945243890807
3,3,"starvation",7.56652686520415
3,3,"starvation",7.4997332686784
3,3,"starvation",7.30034917558661
3,3,"starvation",8.44865255847862
3,3,"starvation",7.27772225949625
3,3,"starvation",7.85218063027992
3,3,"starvation",7.50921647133301
3,3,"starvation",7.08442206529965
3,4,"control",10.4244169897331
3,4,"control",10.1824603926728
3,4,"control",10.2746083094564
3,4,"control",9.6062046249259
3,4,"control",10.1650162325757
3,4,"control",10.0616432497916
3,4,"control",10.3810729157117
3,4,"control",9.94992428398037
3,4,"control",10.2940064064702
3,4,"control",9.69036305300303
3,4,"half",9.79234482928853
3,4,"half",8.81044470746742
3,4,"half",8.80229387922572
3,4,"half",9.15600212705695
3,4,"half",9.81388479732736
3,4,"half",8.91661840068826
3,4,"half",9.16554095652853
3,4,"half",8.83975886779525
3,4,"half",10.2201284824605
3,4,"half",9.80410116530388
3,4,"starvation",7.17730703727327
3,4,"starvation",6.457590189671
3,4,"starvation",6.56865393963281
3,4,"starvation",6.24697434771659
3,4,"starvation",7.15685391225926
3,4,"starvation",7.38926562615039
3,4,"starvation",6.67626754987659
3,4,"starvation",7.08589807557147
3,4,"starvation",7.55529912139195
3,4,"starvation",7.21691939273813
3,5,"control",9.62944048824113
3,5,"control",10.2226007583615
3,5,"control",10.9268527469643
3,5,"control",10.0614508751347
3,5,"control",10.7696873960412
3,5,"control",9.80856564478776
3,5,"control",9.88187349571906
3,5,"control",9.89437876357552
3,5,"control",10.2718615287257
3,5,"control",9.17406993903499
3,5,"half",9.52262902044884
3,5,"half",9.11819268103506
3,5,"half",9.6351811769653
3,5,"half",9.45679156494107
3,5,"half",8.65125526612675
3,5,"half",9.35766554661212
3,5,"half",9.29902032580796
3,5,"half",9.8464109086449
3,5,"half",8.52986135337299
3,5,"half",8.77323524481367
3,5,"starvation",6.60989454992977
3,5,"starvation",5.59403140854943
3,5,"starvation",6.11168698724997
3,5,"starvation",5.76169202502032
3,5,"starvation",5.95844208000294
3,5,"starvation",5.93117333665497
3,5,"starvation",6.01520358177636
3,5,"starvation",6.39368447857945
3,5,"starvation",6.43944167094317
3,5,"starvation",6.02246523855594
3,6,"control",9.68956163980394
3,6,"control",10.2453533421106
3,6,"control",9.52548952005693
3,6,"control",10.6506306694228
3,6,"control",10.0790156819203
3,6,"control",9.44850123433432
3,6,"control",10.7204595244324
3,6,"control",10.1872437890794
3,6,"control",9.81575985952319
3,6,"control",9.85205883408686
3,6,"half",9.33738787106124
3,6,"half",8.81465752024065
3,6,"half",8.87155361361584
3,6,"half",8.29173881846651
3,6,"half",8.51428748011
3,6,"half",9.02085780931019
3,6,"half",9.03777028358502
3,6,"half",8.64385448450866
3,6,"half",9.35276223589569
3,6,"half",8.63618087338947
3,6,"starvation",6.09060983585751
3,6,"starvation",5.74116114052321
3,6,"starvation",4.83986671590119
3,6,"starvation",5.36288850350411
3,6,"starvation",5.51873780517137
3,6,"starvation",5.32409577510113
3,6,"starvation",5.15464308791135
3,6,"starvation",5.18066899546276
3,6,"starvation",5.02291738639152
3,6,"starvation",5.58056689586006
3,7,"control",10.2905782498296
3,7,"control",9.87095448595832
3,7,"control",10.3041324750995
3,7,"control",10.424337527258
3,7,"control",9.84115689788365
3,7,"control",10.1586689401567
3,7,"control",10.2006475790037
3,7,"control",10.0559102079236
3,7,"control",10.8240124926985
3,7,"control",11.3247891940326
3,7,"half",8.72878914232354
3,7,"half",8.92038922470289
3,7,"half",8.79381956837536
3,7,"half",9.25018460167422
3,7,"half",8.68808171161031
3,7,"half",9.23671935144871
3,7,"half",8.85166796874209
3,7,"half",8.79088718528118
3,7,"half",8.65554222222674
3,7,"half",8.40651667798033
3,7,"starvation",5.41514387785694
3,7,"starvation",4.02289502766149
3,7,"starvation",5.19227598974684
3,7,"starvation",4.49280580162359
3,7,"starvation",3.99759096198627
